iter	Passed	Remaining
0	156	156752
1	177	88774
2	197	65677
3	217	54251
4	232	46311
5	246	40795
6	258	36703
7	269	33404
8	277	30591
9	288	28525
10	295	26550
11	305	25153
12	312	23760
13	323	22788
14	333	21873
15	341	21022
16	351	20331
17	359	19620
18	369	19097
19	378	18522
20	388	18098
21	396	17608
22	405	17243
23	415	16910
24	423	16533
25	436	16343
26	448	16174
27	458	15922
28	470	15752
29	479	15515
30	491	15353
31	501	15160
32	509	14938
33	520	14794
34	529	14588
35	539	14444
36	549	14302
37	559	14162
38	567	13991
39	577	13864
40	586	13720
41	597	13623
42	605	13466
43	615	13363
44	623	13235
45	632	13127
46	643	13044
47	651	12926
48	661	12840
49	669	12719
50	679	12643
51	687	12527
52	697	12462
53	706	12371
54	715	12290
55	724	12221
56	733	12135
57	744	12085
58	752	11994
59	762	11952
60	770	11864
61	781	11817
62	790	11759
63	798	11682
64	808	11626
65	816	11551
66	825	11501
67	833	11430
68	847	11432
69	861	11440
70	875	11456
71	886	11426
72	900	11434
73	914	11443
74	929	11462
75	943	11471
76	957	11475
77	968	11452
78	983	11461
79	999	11496
80	1014	11508
81	1031	11552
82	1049	11599
83	1067	11640
84	1085	11687
85	1100	11699
86	1117	11731
87	1135	11764
88	1148	11760
89	1160	11738
90	1171	11699
91	1183	11681
92	1200	11709
93	1215	11718
94	1229	11709
95	1239	11670
96	1249	11631
97	1261	11610
98	1272	11578
99	1280	11525
100	1291	11495
101	1299	11442
102	1310	11411
103	1318	11355
104	1328	11324
105	1338	11284
106	1346	11238
107	1356	11203
108	1363	11149
109	1374	11124
110	1382	11074
111	1394	11056
112	1403	11016
113	1412	10977
114	1421	10940
115	1429	10896
116	1439	10866
117	1447	10821
118	1457	10793
119	1465	10748
120	1477	10730
121	1486	10701
122	1496	10667
123	1507	10646
124	1528	10701
125	1552	10769
126	1571	10800
127	1595	10870
128	1621	10950
129	1643	11001
130	1669	11073
131	1691	11122
132	1716	11190
133	1742	11261
134	1766	11317
135	1790	11376
136	1813	11425
137	1840	11495
138	1864	11547
139	1889	11604
140	1914	11661
141	1939	11721
142	1965	11779
143	1990	11832
144	2014	11877
145	2038	11926
146	2063	11974
147	2088	12020
148	2112	12064
149	2139	12124
150	2164	12168
151	2189	12216
152	2213	12254
153	2239	12303
154	2265	12347
155	2289	12387
156	2314	12427
157	2339	12468
158	2364	12504
159	2390	12548
160	2411	12565
161	2437	12606
162	2462	12644
163	2489	12688
164	2511	12709
165	2538	12755
166	2563	12786
167	2591	12835
168	2617	12870
169	2643	12904
170	2667	12933
171	2693	12964
172	2719	13000
173	2743	13025
174	2767	13044
175	2790	13064
176	2815	13090
177	2840	13115
178	2864	13140
179	2888	13157
180	2912	13178
181	2937	13202
182	2962	13226
183	2989	13259
184	3016	13288
185	3040	13307
186	3072	13359
187	3093	13361
188	3118	13380
189	3141	13393
190	3165	13408
191	3189	13422
192	3213	13438
193	3239	13458
194	3264	13475
195	3288	13488
196	3313	13504
197	3339	13527
198	3362	13536
199	3389	13556
200	3414	13572
201	3441	13594
202	3466	13611
203	3492	13628
204	3519	13648
205	3543	13656
206	3570	13679
207	3596	13694
208	3621	13704
209	3643	13707
210	3670	13725
211	3694	13733
212	3720	13747
213	3745	13756
214	3771	13769
215	3797	13782
216	3822	13792
217	3847	13801
218	3874	13818
219	3899	13824
220	3923	13831
221	3948	13836
222	3976	13853
223	3999	13856
224	4024	13863
225	4047	13861
226	4073	13871
227	4100	13882
228	4123	13883
229	4148	13887
230	4173	13894
231	4198	13898
232	4223	13903
233	4249	13911
234	4275	13918
235	4301	13926
236	4324	13921
237	4352	13933
238	4376	13933
239	4403	13945
240	4428	13946
241	4454	13951
242	4476	13946
243	4504	13957
244	4529	13959
245	4555	13961
246	4577	13954
247	4603	13958
248	4628	13960
249	4654	13964
250	4679	13965
251	4707	13974
252	4732	13973
253	4756	13969
254	4779	13964
255	4806	13968
256	4831	13968
257	4857	13970
258	4881	13966
259	4906	13965
260	4933	13968
261	4959	13968
262	4983	13965
263	5008	13962
264	5033	13960
265	5059	13960
266	5084	13958
267	5106	13948
268	5131	13944
269	5157	13945
270	5179	13932
271	5198	13912
272	5216	13890
273	5233	13866
274	5253	13851
275	5271	13828
276	5289	13805
277	5306	13780
278	5323	13758
279	5342	13738
280	5362	13719
281	5380	13699
282	5403	13690
283	5422	13671
284	5444	13659
285	5471	13659
286	5495	13652
287	5521	13650
288	5545	13642
289	5573	13646
290	5598	13640
291	5621	13631
292	5647	13626
293	5671	13618
294	5697	13616
295	5723	13612
296	5754	13622
297	5783	13623
298	5808	13619
299	5836	13619
300	5859	13606
301	5885	13602
302	5909	13592
303	5936	13590
304	5959	13578
305	5986	13578
306	6010	13567
307	6035	13559
308	6057	13546
309	6080	13534
310	6104	13524
311	6128	13514
312	6154	13507
313	6177	13496
314	6203	13489
315	6226	13477
316	6250	13467
317	6274	13457
318	6298	13446
319	6322	13435
320	6347	13425
321	6372	13417
322	6396	13407
323	6422	13399
324	6444	13383
325	6468	13373
326	6492	13361
327	6516	13350
328	6541	13341
329	6569	13338
330	6591	13322
331	6614	13307
332	6637	13295
333	6660	13281
334	6687	13274
335	6709	13259
336	6737	13254
337	6761	13242
338	6787	13233
339	6810	13219
340	6836	13211
341	6861	13201
342	6887	13192
343	6909	13176
344	6936	13168
345	6959	13153
346	6986	13147
347	7009	13132
348	7032	13117
349	7054	13101
350	7079	13089
351	7104	13078
352	7128	13066
353	7154	13056
354	7180	13047
355	7204	13032
356	7226	13016
357	7248	12998
358	7273	12987
359	7298	12975
360	7320	12957
361	7340	12936
362	7363	12920
363	7387	12908
364	7408	12888
365	7429	12870
366	7453	12855
367	7475	12838
368	7501	12828
369	7524	12811
370	7551	12802
371	7575	12788
372	7599	12773
373	7622	12757
374	7645	12742
375	7669	12727
376	7693	12713
377	7719	12702
378	7740	12682
379	7765	12670
380	7789	12655
381	7814	12642
382	7839	12629
383	7864	12615
384	7889	12602
385	7914	12589
386	7939	12575
387	7963	12561
388	7996	12559
389	8023	12549
390	8050	12538
391	8075	12525
392	8103	12515
393	8128	12502
394	8155	12491
395	8181	12478
396	8206	12464
397	8230	12448
398	8253	12432
399	8277	12416
400	8302	12402
401	8328	12388
402	8353	12375
403	8379	12362
404	8406	12349
405	8431	12336
406	8458	12324
407	8482	12308
408	8505	12290
409	8529	12274
410	8551	12254
411	8574	12237
412	8599	12222
413	8622	12205
414	8647	12190
415	8674	12177
416	8701	12165
417	8724	12147
418	8769	12159
419	8794	12145
420	8822	12134
421	8848	12119
422	8874	12104
423	8900	12091
424	8926	12076
425	8949	12059
426	8973	12042
427	8998	12025
428	9025	12012
429	9052	11999
430	9076	11982
431	9103	11969
432	9126	11951
433	9152	11936
434	9176	11918
435	9202	11904
436	9227	11888
437	9253	11872
438	9275	11853
439	9299	11835
440	9324	11819
441	9350	11804
442	9375	11788
443	9402	11774
444	9429	11760
445	9455	11744
446	9479	11727
447	9506	11713
448	9532	11698
449	9559	11683
450	9586	11669
451	9610	11652
452	9636	11636
453	9660	11618
454	9685	11601
455	9709	11582
456	9737	11569
457	9760	11550
458	9786	11534
459	9810	11517
460	9836	11501
461	9861	11483
462	9887	11467
463	9912	11450
464	9937	11433
465	9961	11415
466	9986	11397
467	10010	11379
468	10036	11363
469	10063	11347
470	10087	11329
471	10112	11312
472	10138	11295
473	10163	11278
474	10188	11260
475	10211	11241
476	10236	11224
477	10262	11206
478	10287	11189
479	10312	11171
480	10337	11154
481	10362	11136
482	10389	11120
483	10414	11102
484	10439	11084
485	10464	11067
486	10490	11050
487	10514	11031
488	10540	11014
489	10567	10998
490	10592	10980
491	10618	10963
492	10639	10941
493	10663	10922
494	10690	10906
495	10716	10889
496	10739	10869
497	10764	10851
498	10788	10831
499	10813	10813
500	10838	10795
501	10861	10775
502	10886	10756
503	10910	10737
504	10935	10719
505	10960	10700
506	10985	10682
507	11007	10660
508	11034	10644
509	11059	10625
510	11085	10607
511	11111	10590
512	11138	10573
513	11163	10555
514	11187	10535
515	11211	10516
516	11235	10497
517	11259	10477
518	11283	10457
519	11307	10437
520	11332	10418
521	11358	10400
522	11382	10381
523	11404	10359
524	11427	10338
525	11452	10320
526	11475	10299
527	11500	10280
528	11522	10259
529	11546	10238
530	11573	10222
531	11598	10203
532	11621	10182
533	11645	10162
534	11669	10142
535	11692	10122
536	11717	10102
537	11740	10082
538	11766	10064
539	11790	10043
540	11813	10023
541	11838	10003
542	11862	9983
543	11888	9965
544	11913	9946
545	11938	9926
546	11961	9906
547	11987	9887
548	12009	9865
549	12029	9842
550	12047	9816
551	12069	9795
552	12092	9774
553	12117	9755
554	12138	9732
555	12161	9711
556	12184	9690
557	12207	9669
558	12233	9651
559	12257	9630
560	12280	9610
561	12305	9590
562	12326	9568
563	12347	9545
564	12368	9522
565	12386	9497
566	12407	9475
